id,flowerday,FMflowerdiff,germday,espigalength,shoot,root,finalheight,finalstemw,numlvs,numflwrleaves,length3leaf,width3leaf,red,green,blue
838,88,0,22,11.5,3.26,1.98,80,5.64,5,2,14.6,2.1,155.090590255438,109.843,104.237083239426
839,89,2,20,7.7,4.3,2.07,133.2,4.81,4,2,22.1,2.3,187.602220459173,124.183,101.261349753915
840,106,8,30,9.1,4.39,2.97,86,6.75,5,2,18.5,2.3,128.879837547607,91.346,61.2172282242081
841,85,1,22,7.8,3.04,1,96.2,5.23,5,3,17.8,2,219.718565451389,135.142,137.44155612675
842,85,2,21,8,3.38,1,102.9,3.97,5,2,18.6,1.7,152.293877094557,122.972,100.664502438511
843,88,2,21,7.8,2.54,1.42,107.3,4.86,4,2,21.9,2.3,156.525309875749,115.193,108.916499173616
844,114,2,25,12.6,6.82,3.77,98.8,7.62,5,3,24.2,2.3,120.836344886368,66.686,60.6547417596285
845,95,11,21,10.2,3.67,2.88,86.3,6.8,7,4,15.2,1.9,172.465508219457,145.83,71.0799414126452
846,107,2,52,8.6,5.5,3.34,77.2,7.85,6,3,17.3,2.7,99.4640754606981,55.552,54.1919567685481
847,107,NA,19,2.7,4.17,1.48,83.9,5.41,6,1,19.2,2.5,113.417412587767,71.795,65.4185991051288
848,86,3,21,6.1,2.5,0.77,73.2,5.17,5,3,18.3,2,170.518289163456,150.707,145.864243457363
849,102,1,22,11.6,2.59,1.19,60.3,4.18,4,1,29.5,2.2,149.400284292256,100.163,104.335672833822
850,91,-3,21,7,5.09,2.51,114.3,4.23,5,3,17,2.2,151.859148127572,54.045,53.1459629433928
851,85,0,21,8.4,3.17,1.12,84.7,5,6,3,10.5,1.7,179.404034201389,120.427,119.599678151829
852,115,11,22,10.9,6.58,3.48,44.6,10.23,6,3,16.3,2.5,146.98848570998,107.537,76.061616758094
853,94,3,22,6.9,2.8,1.73,94.2,4.61,6,3,20.3,2.1,148.012929581096,88.806,84.4317431920649
854,105,3,21,10.6,3.57,3.06,60.9,5.85,5,3,22.4,2.3,NA,NA,NA
855,94,4,21,9.6,3.62,1.62,111,4.45,4,3,21.7,2.3,NA,NA,NA
856,88,0,21,6.1,3.89,1.45,135.2,5.59,5,2,18,2.2,172.177190688269,111.566,113.257843625573
857,109,7,75,12.3,2.91,1.4,82.1,5.8,4,2,35.4,2.1,91.1587480980558,48.506,46.6397673690711
858,95,2,21,9.1,5.18,2.28,125.5,7.34,5,3,19.3,2,162.258612524969,95.466,95.8026226327809
859,106,6,21,9.6,4.04,2.59,99,5.67,5,3,24,2.4,164.543409562537,84.391,59.3808538200966
860,101,7,21,10.7,3.34,1.42,110,5.26,4,2,25.9,1.9,NA,NA,NA
861,85,3,21,7.4,3.5,1.16,137.1,5.11,5,3,11.9,2,124.899997896308,80.814,77.8172834066
862,99,1,25,8.1,4.35,1.86,120,6.59,5,2,23,2.3,150.758882912157,79.974,70.4829136113127
863,104,7,57,12.6,4.34,1.9,100.3,7.05,5,3,19.8,2.2,141.494985680458,71.389,74.480999312523
864,90,-13,22,2.6,3.83,2,90.3,5.94,6,4,13.3,1.9,133.60179956121,93.417,97.905298797184
865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
866,94,6,39,10.1,3.93,1.67,120.2,5.38,5,2,18.2,2.6,140.44774817926,95.9,83.164020978956
867,86,4,21,7.7,3.22,1.14,118,5.93,6,3,15,1.9,209.988278763175,171.358,168.045395594888
868,86,3,21,7.5,3.45,1.34,127.3,6.04,6,2,8.6,1.3,210.648038875267,163.553,159.104937152228
869,85,2,21,8.7,3.4,1.11,102.7,5.1,5,3,13.9,2.1,165.749520561889,113.465,117.103618963025
870,114,9,21,11.3,7.83,3,101.8,6.6,5,2,25.3,2.3,106.471366317808,54.197,50.8614162838827
871,85,6,21,10.6,2.46,0.99,98.3,5.39,4,2,23.2,2,172.430632871878,121.195,105.826318574612
872,89,0,21,10,3.34,1.81,76.4,4.79,6,2,16.1,2.2,140.314930284515,68.869,58.5670721031306
873,92,1,21,9.4,3.3,1.66,117.1,4.29,5,2,20.5,1.9,111.472384010485,67.416,69.1340017730649
874,99,-3,48,5.6,4.57,1.42,67.5,6.25,5,3,14.6,2.7,125.478690912684,49.756,61.427675949797
875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
876,90,0,19,9.4,3.42,1.37,100.4,5.14,5,3,20,1.9,187.3237617177,109.68,111.982586092488
877,83,3,21,6.6,3.39,1.04,123.4,4.65,6,2,10.8,2,159.950972677596,99.198,92.5070410067087
878,86,0,22,4.4,3.26,1.11,96.2,4.16,5,3,18.4,2.4,234.068709164563,197.616,133.892456313773
879,95,5,21,13.5,2.28,1.69,96.9,5.81,6,1,29.5,2.2,209.58414917683,130.293,122.635815454648
880,95,0,27,8.4,4.53,1.87,140.8,5.96,5,2,17.9,2.1,178.864592818303,96.308,99.958940227488
881,87,0,21,8.5,3.24,1.3,107.9,4.32,6,4,15,1.8,199.686945391618,142.941,141.73630501476
882,87,2,19,9,3.56,1.48,NA,4.98,5,3,20.5,2.1,202.296483259348,129.655,126.26275775944
883,90,1,25,9.2,2.88,1.3,107.2,4.64,5,3,14.4,2.2,128.482891507757,76.808,62.5606314593201
884,103,6,NA,12.7,4.19,2.42,120.5,5.7,3,2,23.6,2.4,139.269169927693,82.328,66.4024703931031
885,94,0,21,10.1,4.95,2.08,122.6,6.05,4,2,27.9,2.4,102.751573936022,66.185,59.6820552684414
886,123,4,29,10.7,7.53,3.53,156.8,6.14,5,3,23,2.1,144.239354443938,77.527,82.6543974126499
887,90,5,22,10.9,2.86,1.71,117.9,4.9,4,2,30.5,2.1,150.208489641597,81.991,83.4699559145444
888,134,NA,24,NA,0.6,0.13,6.6,4.16,5,1,11.6,1,122.441611554739,99.596,56.9905524723934
889,79,8,21,8.3,3.05,1.02,121.1,5.01,5,2,17.9,1.9,128.324204071714,59.242,63.6152853590352
890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
891,137,NA,82,12.3,2.11,1.58,22,7.57,6,4,21.7,2.3,113.482869943031,53.877,55.4532717634449
892,102,2,20,11.9,3.82,1.2,123.2,4.9,4,2,24.8,2.1,157.297677047486,115.164,112.725955027208
893,86,0,21,7,3.09,1.58,85.4,6.03,5,2,20,2.6,207.375756004203,144.225,129.945085229586
894,89,2,22,7.9,3.15,1.47,91.3,5.2,6,2,21.8,2.2,165.937149740249,93.523,81.5332170608697
895,86,3,22,8.5,3.4,1.25,123.5,5.79,5,3,13.8,2.3,139.172212057051,108.283,110.25211296391
896,88,3,19,11.4,3.14,1.33,106,5.72,5,3,15.9,2.1,168.263136860048,98.461,104.543978100819
897,91,2,21,9,3.88,2.16,120.7,4.62,6,3,14.5,1.8,112.480193542312,61.625,66.1748246875574
898,91,3,21,8.1,3.27,1.45,104.8,3.84,6,2,13.1,1.4,206.044543497213,151.905,94.3870051397176
899,87,2,22,8.7,3.69,1.38,NA,5.62,5,3,14.7,2.2,191.744826168084,114.297,121.005385652511
900,90,2,23,7.7,3.14,1.9,80.6,5.6,5,3,15.5,2.4,156.727231977939,70.553,82.9651255825306
